Timestamp,What is your age?,What Occupation (Program) are you in?,Year of Study?,To which gender do you most identify? (Optional),What is your cultural background? (Optional),Did you know what ChatGPT was before this survey?,Have you ever tried using ChatGPT before?,What do you use ChatGPT for? (Select all that Apply),How often have you used ChatGPT?,Do you believe that ChatGPT provides accurate and reliable information?,Do you think using ChatGPT to complete academic assignments is a form of cheating?,Would you like your university to provide guidelines on the appropriate use of ChatGPT in academic work?,Do you think the use of ChatGPT in academic work is beneficial to students' learning?,Should universities allow the use of ChatGPT for research purposes only?,Should universities allow the use of ChatGPT for academic writing assignments?,Do you believe that the use of ChatGPT should be regulated or monitored by universities?,Would you recommend the use of ChatGPT to other students for academic purposes?
2/17/2023 14:40:38,18,Computer Science,1,Male,South Asian,Yes,Yes,"To Learn New Things, Generating Creative Ideas and Content, Get feedback on Writing or Work",8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/17/2023 14:36:28,18,Business,1,Male,South Asian,Yes,No,,0,No,Yes,Yes,No,Yes,No,No,No
2/17/2023 14:38:16,18,Computer Science,1,Male,South Asian,Yes,Yes,Generating Creative Ideas and Content,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/17/2023 14:38:19,18,Engineering and Architectural Science,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment",7,No,Yes,Yes,Yes,Yes,Yes,No,Yes
2/17/2023 14:40:43,18,Arts and Design,1,Female,East Asian,Yes,No,,0,No,Yes,Yes,No,No,No,No,No
2/17/2023 14:43:02,18,Arts and Design,1,Male,South Asian,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Generating Creative Ideas and Content",3,Yes,No,No,No,Yes,No,No,Yes
2/17/2023 14:48:01,18,Computer Science,1,Female,South Asian,Yes,No,,0,No,Yes,Yes,No,Yes,No,Yes,No
2/17/2023 14:55:32,18,Business,2,Female,European,Yes,No,,0,No,No,No,Yes,No,Yes,No,Yes
2/17/2023 14:56:04,18,Computer Science,1,Male,South Asian,Yes,Yes,To Learn New Things,1,No,Yes,Yes,No,No,No,Yes,No
2/17/2023 14:59:22,19,Engineering and Architectural Science,1,Male,South Asian,Yes,Yes,Entertainment,1,No,Yes,Yes,No,No,No,Yes,No
2/17/2023 15:00:34,20,Computer Science,1,Female,South Asian,Yes,No,,0,No,No,Yes,Yes,Yes,No,Yes,No
2/17/2023 15:00:42,18,Computer Science,1,Male,Middle Eastern,Yes,No,"To Learn New Things, Education (Help with Assignments / Projects)",2,No,Yes,Yes,Yes,Yes,No,Yes,Yes
2/17/2023 15:00:45,21,Business,1,Male,European,Yes,Yes,"To Learn New Things, Education (Help with Assignments / Projects), Entertainment, Generating Creative Ideas and Content, Get feedback on Writing or Work",1,Yes,No,Yes,Yes,Yes,Yes,No,Yes
2/17/2023 15:01:59,18,Computer Science,1,Male,South Asian,Yes,Yes,"Education (Help with Assignments / Projects), Entertainment",3,No,Yes,Yes,Yes,Yes,No,Yes,Yes
